City,Longitude,Latitude
Anqing,116.485926,30.57509
Chuzhou,118.102232,32.544414
Fuyang,115.704997,32.916821
Hefei,117.355168,31.761758
Huaibei,116.702052,33.747502
Huainan,116.768186,32.471916
Wuhu,118.135009,31.162386
Lanzhou,103.64036,36.354834
Linxia,103.287988,35.623525
Pingliang,107.235043,35.198548
Qinzhou,109.015104,22.174412
Bijie,105.211417,27.06854
Guiyang,106.706387,26.842298
Liupanshui,104.657794,25.858931
Qiannan,107.250198,26.012912
Zunyi,107.084718,28.168827
Dongfang,108.815077,18.997825
Baoding,115.170435,39.021018
Cangzhou,116.766199,38.268764
Handan,114.543558,36.552914
Hengshui,115.841254,37.649857
Shijiazhuang,114.440863,38.130138
Tangshan,118.338917,39.7119
Anyang,114.632425,35.473521
Hebi,114.358181,35.639034
Pingdingshan,113.011992,33.795527
Puyang,115.176433,35.807921
Sanmenxia,110.746484,34.234688
Xinxiang,114.090255,35.263866
Zhumadian,114.15116,32.923574
Daqing,124.701183,46.341653
Harbin,127.953588,45.634058
Qitaihe,130.935214,45.879429
Qiqihar,124.534889,47.696853
Shuangyashan,132.225354,46.318653
Jingmen,112.608403,31.070529
Yichang,111.134959,30.747004
Tonghua,125.948584,41.952304
Lianyungang,119.140341,34.535697
Nanjing,118.843232,31.926669
Suzhou,120.655038,31.383013
Xuzhou,117.465526,34.251898
Jiujiang,115.44848,29.323731
Dalian,122.181311,39.589807
Chifeng,118.868803,43.212583
Alxa,102.498695,40.494228
Bayannur,107.56802,41.446782
Batou,110.261612,41.543981
Ordos,108.621699,39.408318
Hohhot,111.500267,40.588631
Wuhai,106.870035,39.424683
Ulanqab,112.45518,41.677431
XilinGol ,115.437443,44.182102
Wuzhong,106.525967,37.461273
Yinchuan,106.088132,38.510936
Haixi,95.130854,37.235747
Xining,101.437267,36.824838
Dezhou,116.645401,37.247299
Heze,115.693043,35.150358
Jinan,117.215522,36.635835
Jining,116.736146,35.368759
Liaocheng,115.880532,36.457717
Linyi,118.280292,35.308079
Taian,117.025359,36.002255
Weifang,119.073406,36.550612
Yantai,120.800222,37.239587
Zhaozhuang,117.393429,34.915828
Zibo,118.054087,36.606245
Datong,113.720857,39.899321
Jincheng,112.706376,35.610754
Jinzhong,112.960175,37.326914
Linfen,111.377816,36.226553
Lvliang,111.262966,37.676122
Shuozhou,112.727634,39.451274
Taiyuan,112.315161,37.959121
Yuncheng,111.06501,35.18742
Changzhi,112.917222,36.475588
Baoji,107.200828,34.37819
Weinan,109.850136,34.948223
Xianyang,108.390649,34.784169
Yanyan,109.317578,36.435349
Yulinx,109.55537,38.036516
Shanghai,121.434607,31.074105
Dazhou,107.641728,31.36487
Luzhou,105.450237,28.555298
Mianyang,104.706124,31.84743
Tianjin,117.344416,39.282694
Aksu,82.728366,40.985275
Bayingolin,87.476374,39.464787
Changji,89.787979,44.344529
Hami,93.520757,43.027093
Shihezi,86.035602,44.305432
Urumqi,87.780739,43.727865
Wujiaqu,87.554598,44.360502
Honghe,103.033642,23.439633
Kunming,102.872975,25.38556
Qujing,103.939484,25.70155
Zhaotong,103.99977,27.653752
Ningbo,121.476275,29.733087
Zhoushan,122.142571,30.058858
Chongqing,107.863476,30.055451
