,2025,2030,2040,2050
PV,849.7917546,707.2858139,520.1131276,430.7796367
WT,1437.938254,1303.781071,1175.405192,1047.029312
PEM,1562.583792,1043.112,637.56,231.84
SOE,3173.435004,862.848,718.8,574.8
LiB,1364.351982,1143.639219,967.2815407,791.004471
HST,2246.048104,1956.238603,1173.727498,912.9165696
SST,225.4045234,214.357459,193.8610436,175.3244528
RWS,637.8430428,606.5823871,548.5822379,496.1279427
MSR,10446.65362,9414.075857,7645.021133,6208.399955
CGG,11021.21957,9931.850029,8065.497295,6549.861952
