Prov,Prefx,Capacity
Anhui,Anqing,0.07
Anhui,Bengbu,19.63
Anhui,Bozhou,30.98
Anhui,Chizhou,0.0
Anhui,Chuzhou,43.79
Anhui,Fuyang,34.05
Anhui,Hefei,31.84
Anhui,Huaibei,9.33
Anhui,Huainan,12.63
Anhui,Huangshan,0.0
Anhui,Luan,3.68
Anhui,Maanshan,11.76
Anhui,Suzhoux,35.21
Anhui,Tongling,0.13
Anhui,Wuhu,12.35
Anhui,Xuancheng,3.52
Beijing,Beijing,16.18
Chongqing,Chongqing,0.0
Fujian,Fuzhou,5.25
Fujian,Longyan,0.0
Fujian,Nanping,0.0
Fujian,Ningde,2.93
Fujian,Putian,3.23
Fujian,Quanzhou,4.86
Fujian,Sanming,0.0
Fujian,Xiamen,1.37
Fujian,Zhangzhou,13.51
Gansu,Baiyin,23.32
Gansu,Dingxi,1.8
Gansu,Gannan,0.0
Gansu,Jiayuguan,1.15
Gansu,Jinchang,21.56
Gansu,Jiuquan,364.38
Gansu,Lanzhou,3.58
Gansu,Linxia,0.0
Gansu,Longnan,0.0
Gansu,Pingliang,5.0
Gansu,Qingyang,6.22
Gansu,Tianshui,0.0
Gansu,Wuwei,71.98
Gansu,Zhangye,11.32
Guangdong,Chaozhou,0.67
Guangdong,Dongguan,1.03
Guangdong,Foshan,6.17
Guangdong,Guangzhou,9.68
Guangdong,Heyuan,1.86
Guangdong,Huizhou,7.71
Guangdong,Jiangmen,23.14
Guangdong,Jieyang,12.78
Guangdong,Maoming,32.06
Guangdong,Meizhou,2.79
Guangdong,Qingyuan,2.73
Guangdong,Shantou,2.3
Guangdong,Shanwei,11.92
Guangdong,Shaoguan,0.0
Guangdong,Shenzhen,0.61
Guangdong,Yangjiang,16.47
Guangdong,Yunfu,3.24
Guangdong,Zhanjiang,37.67
Guangdong,Zhaoqing,4.7
Guangdong,Zhongshan,0.0
Guangdong,Zhuhai,0.18
Guangxi,Baise,22.94
Guangxi,Beihai,9.75
Guangxi,Chongzuo,39.24
Guangxi,Fangchenggang,7.3
Guangxi,Guigang,21.65
Guangxi,Guilin,1.93
Guangxi,Hechi,19.99
Guangxi,Hezhou,0.0
Guangxi,Laibin,32.71
Guangxi,Liuzhou,32.96
Guangxi,Nanning,68.58
Guangxi,Qinzhou,35.76
Guangxi,Wuzhou,1.75
Guangxi,Yulin,37.44
Guizhou,Anshun,5.6
Guizhou,Bijie,8.84
Guizhou,Guiyang,26.97
Guizhou,Liupanshui,0.22
Guizhou,Qiandongnan,4.53
Guizhou,Qiannan,12.17
Guizhou,Qianxinan,0.0
Guizhou,Tongren,0.0
Guizhou,Zunyi,1.36
Hainan,Baisha,0.0
Hainan,Baoting,0.53
Hainan,Changjiang,1.38
Hainan,Chengmai,0.12
Hainan,Danzhou,0.38
Hainan,Dingan,0.28
Hainan,Dongfang,0.0
Hainan,Haikou,0.67
Hainan,Ledong,1.63
Hainan,Lingao,0.18
Hainan,Lingshui,2.06
Hainan,Qionghai,3.37
Hainan,Qiongzhong,0.0
Hainan,Sanya,2.2
Hainan,Tunchang,0.0
Hainan,Wanning,2.84
Hainan,Wenchang,2.15
Hainan,Wuzhishan,0.0
Hebei,Baoding,12.71
Hebei,Cangzhou,48.33
Hebei,Chengde,55.66
Hebei,Handan,25.35
Hebei,Hengshui,31.63
Hebei,Langfang,22.31
Hebei,Qinhuangdao,20.74
Hebei,Shijiazhuang,10.11
Hebei,Tangshan,21.02
Hebei,Xingtai,32.26
Hebei,Zhangjiakou,74.69
Heilongjiang,Daqing,23.0
Heilongjiang,Daxing,0.04
Heilongjiang,Harbin,84.56
Heilongjiang,Hegang,4.1
Heilongjiang,Heihe,50.58
Heilongjiang,Jiamusi,21.23
Heilongjiang,Jixi,13.03
Heilongjiang,Mudanjiang,0.6
Heilongjiang,Qiqihar,45.98
Heilongjiang,Qitaihe,13.65
Heilongjiang,Shuangyashan,4.25
Heilongjiang,Suihua,90.85
Heilongjiang,Yichunx,0.17
Henan,Anyang,23.87
Henan,Hebi,7.34
Henan,Jiaozuo,2.52
Henan,Jiyuan,0.0
Henan,Kaifeng,22.23
Henan,Luohe,9.44
Henan,Luoyang,1.31
Henan,Nanyang,10.14
Henan,Pingdingshan,17.87
Henan,Puyang,15.18
Henan,Sanmenxia,0.0
Henan,Shangqiu,38.59
Henan,Xinxiang,27.95
Henan,Xinyang,20.3
Henan,Xuchang,17.82
Henan,Zhengzhou,21.94
Henan,Zhoukou,43.33
Henan,Zhumadian,38.05
HongKong,HongKongx,0.14
Hubei,Enshi,0.0
Hubei,Ezhou,0.0
Hubei,Huanggang,0.0
Hubei,Huangshi,0.0
Hubei,Jingmen,20.75
Hubei,Jingzhou,38.87
Hubei,Qianjiang,7.25
Hubei,Shennongjia,0.0
Hubei,Shiyan,0.0
Hubei,Suizhou,5.26
Hubei,Tianmen,9.18
Hubei,Wuhan,1.14
Hubei,Xiangyang,0.0
Hubei,Xianning,0.0
Hubei,Xiantao,4.49
Hubei,Xiaogan,20.88
Hubei,Yichang,3.11
Hunan,Changde,13.42
Hunan,Changsha,1.11
Hunan,Chenzhou,0.0
Hunan,Hengyang,0.51
Hunan,Huaihua,0.0
Hunan,Loudi,2.73
Hunan,Shaoyang,0.0
Hunan,Xiangtan,10.87
Hunan,Xiangxi,0.0
Hunan,Yiyang,0.81
Hunan,Yongzhou,0.0
Hunan,Yueyang,5.4
Hunan,Zhangjiajie,0.0
Hunan,Zhuzhou,0.0
W_InnerMongo,Alxa,706.67
W_InnerMongo,Batou,99.73
W_InnerMongo,Bayannur,237.3
E_InnerMongo,Chifeng,181.58
W_InnerMongo,Hohhot,62.3
E_InnerMongo,Hulunbuir,477.72
W_InnerMongo,Ordos,245.89
E_InnerMongo,Tongliao,59.7
W_InnerMongo,Ulanqab,183.67
W_InnerMongo,Wuhai,5.96
W_InnerMongo,XilinGol ,544.92
E_InnerMongo,Xingan,189.81
Jiangsu,Changzhou,10.27
