Prov,Prefx,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,h256,h257,h258,h259,h260,h261,h262,h263,h264,h265,h266,h267,h268,h269,h270,h271,h272,h273,h274,h275,h276,h277,h278,h279,h280,h281,h282,h283,h284,h285,h286,h287,h288
Anhui,Anqing,0,0,0,0,0,0,0,0.084054505,0.20609455,0.326704116,0.420494995,0.476246941,0.48576307,0.451323693,0.360695217,0.257632925,0.131196885,0.019973304,0,0,0,0,0,0,0,0,0,0,0,0,0.000564039,0.078886699,0.200014778,0.319488916,0.413937192,0.468052956,0.481004926,0.452576355,0.368608374,0.274296798,0.160247537,0.046565271,5.17E-05,0,0,0,0,0,0,0,0,0,0,0,0.011675195,0.101761958,0.227047831,0.34310901,0.429963293,0.480651835,0.486318131,0.451865406,0.372058954,0.282442714,0.173015573,0.064003337,0.002540601,0,0,0,0,0,0,0,0,0,0,0.001129885,0.032189655,0.127126437,0.252433333,0.364267816,0.445464368,0.486817242,0.486531035,0.447933333,0.372926437,0.285044828,0.180190805,0.075443678,0.007194253,0,0,0,0,0,0,0,0,0,0,0.00903782,0.037771969,0.131720801,0.248150167,0.350619577,0.42340267,0.457678532,0.460628476,0.427283649,0.359856507,0.278315907,0.179210234,0.082609566,0.013867631,0,0,0,0,0,0,0,0,0,0,0.012104598,0.034583908,0.117087356,0.217158621,0.306355172,0.369016092,0.403422988,0.408982759,0.383165517,0.332236782,0.261472414,0.175297701,0.087856322,0.020226437,0.000503448,0,0,0,0,0,0,0,0,0,0.007261402,0.033864294,0.120877642,0.229938821,0.328630701,0.401212458,0.442709677,0.449101224,0.426074527,0.369238042,0.289246941,0.191599555,0.095557286,0.022208009,0.000586207,0,0,0,0,0,0,0,0,0,0.001785317,0.032374861,0.122720801,0.240303671,0.345153504,0.42565406,0.465689655,0.47394327,0.445452725,0.380258064,0.292735261,0.188424917,0.085741935,0.013195773,0,0,0,0,0,0,0,0,0,0,0,0.031555172,0.132863218,0.259489655,0.372370115,0.452558621,0.492994253,0.493131034,0.455851724,0.378497701,0.284216092,0.16924023,0.057201149,0.002032184,0,0,0,0,0,0,0,0,0,0,0,0.026562848,0.156610678,0.278047831,0.390850946,0.470638487,0.508008899,0.499571746,0.44970634,0.355703003,0.247130145,0.121313682,0.018374861,0,0,0,0,0,0,0,0,0,0,0,0,0.00792069,0.179332184,0.270485057,0.374836782,0.450941379,0.485194253,0.475025287,0.423228736,0.330526437,0.21435977,0.082574713,0.002717241,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-05,0.122908787,0.248395996,0.362644049,0.447994438,0.494669633,0.493965517,0.450443826,0.354431591,0.232893215,0.091699666,0.002730812,0,0,0,0,0,0
Anhui,Bengbu,0,0,0,0,0,0,0,0.08996663,0.244825362,0.386938821,0.495723026,0.555179088,0.561529477,0.517181313,0.41134149,0.287598443,0.137660734,0.015288098,0,0,0,0,0,0,0,0,0,0,0,0,0.000732759,0.09729803,0.244682266,0.386666256,0.496182266,0.562232759,0.573158867,0.53462069,0.432805419,0.317924877,0.18095197,0.046014778,0,0,0,0,0,0,0,0,0,0,0,0,0.016140156,0.131586207,0.284949944,0.422867631,0.526331479,0.580746385,0.586384872,0.542162403,0.443502781,0.332439377,0.200777531,0.071240267,0.002185762,0,0,0,0,0,0,0,0,0,0,0.002345977,0.038583908,0.159170115,0.304557471,0.430704598,0.51868046,0.561352874,0.561154023,0.519106897,0.429697701,0.32624023,0.203814943,0.084541379,0.007914943,0,0,0,0,0,0,0,0,0,0,0.01474861,0.044098999,0.159755284,0.290936596,0.401540601,0.478434928,0.513050056,0.51183871,0.47485317,0.391191324,0.301077864,0.193508343,0.090126808,0.015650723,2.22E-06,0,0,0,0,0,0,0,0,0,0.020502299,0.042847126,0.147565517,0.264925287,0.366228736,0.436503448,0.471418391,0.471237931,0.443713793,0.377197701,0.298496552,0.20045977,0.101636782,0.024404598,0.001027586,0,0,0,0,0,0,0,0,0,0.010776418,0.033483871,0.122323693,0.226703003,0.321060067,0.391409344,0.428974416,0.43403337,0.410428254,0.361061179,0.284164627,0.188134594,0.093822024,0.022300334,0.000898776,0,0,0,0,0,0,0,0,0,0.0030901,0.031288098,0.123016685,0.237368187,0.340491657,0.416352614,0.454487208,0.459741936,0.429733037,0.372359288,0.291,0.187230256,0.084483871,0.012944383,0,0,0,0,0,0,0,0,0,0,0.000109195,0.032991954,0.136547126,0.263598851,0.376914942,0.457645977,0.497864368,0.497058621,0.454268966,0.374286207,0.277031034,0.162912644,0.0539,0.001752874,0,0,0,0,0,0,0,0,0,0,0,0.029202447,0.17025584,0.297803115,0.414595106,0.495228031,0.531359288,0.520238042,0.464631813,0.363467186,0.247176863,0.116020022,0.015011124,0,0,0,0,0,0,0,0,0,0,0,0,0.007158621,0.19408046,0.296203448,0.406537931,0.484945977,0.522032184,0.508762069,0.449701149,0.342294253,0.213232184,0.073190805,0.000885057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118590656,0.272723026,0.395640712,0.488173526,0.533519466,0.528769744,0.472810901,0.368248053,0.233470523,0.079636263,0.000428254,0,0,0,0,0,0
Anhui,Bozhou,0,0,0,0,0,0,0,0.069470523,0.238879867,0.386746385,0.499248053,0.563820912,0.573730812,0.531828699,0.426969967,0.303593993,0.150805339,0.019967742,0,0,0,0,0,0,0,0,0,0,0,0,0.000227832,0.090067734,0.239224138,0.387438424,0.503980296,0.573062808,0.587837438,0.550538177,0.448267241,0.334685961,0.19554803,0.055147783,6.03E-05,0,0,0,0,0,0,0,0,0,0,0,0.012334816,0.122825361,0.280191324,0.424510567,0.529387097,0.588482759,0.596546162,0.552929922,0.458129032,0.347310345,0.215147942,0.081737486,0.003829811,0,0,0,0,0,0,0,0,0,0,0.001513793,0.038065517,0.151244828,0.299794253,0.429670115,0.52324023,0.569802299,0.572362069,0.531242529,0.441722988,0.338643678,0.216549425,0.094925287,0.011125287,0,0,0,0,0,0,0,0,0,0,0.012234705,0.043937709,0.152931035,0.284813126,0.400258064,0.481303671,0.52132703,0.522140156,0.485046719,0.400888765,0.310919911,0.203979978,0.098927698,0.019894327,0.000169077,0,0,0,0,0,0,0,0,0,0.017926437,0.043568965,0.145877012,0.267867816,0.373728736,0.446972414,0.484757471,0.490596552,0.462431035,0.392862069,0.313074713,0.211804598,0.110786207,0.029547126,0.001703448,0,0,0,0,0,0,0,0,0,0.009045606,0.033444939,0.117848721,0.223797553,0.320559511,0.393651835,0.436133482,0.44376307,0.421575083,0.368768632,0.294374861,0.19942158,0.102551724,0.027275862,0.001599555,0,0,0,0,0,0,0,0,0,0.002080089,0.030645161,0.116994438,0.231747497,0.337844271,0.415953281,0.457095662,0.465320356,0.438629589,0.379253615,0.299273637,0.197914349,0.092532814,0.01663515,6.23E-05,0,0,0,0,0,0,0,0,0,0,0.0296,0.130772414,0.259210345,0.374390805,0.459264368,0.502727586,0.502356322,0.462205747,0.380368965,0.285502299,0.172331035,0.061178161,0.002818391,0,0,0,0,0,0,0,0,0,0,0,0.022540601,0.165279199,0.294448276,0.413598443,0.498487208,0.535885428,0.524978865,0.471773081,0.371064516,0.256231368,0.124787542,0.018934372,0,0,0,0,0,0,0,0,0,0,0,0,0.003851724,0.176010345,0.291729885,0.403968965,0.484831034,0.523595402,0.512883908,0.455550575,0.35342069,0.225022988,0.082568965,0.00184023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09454505,0.267645161,0.391972191,0.487736374,0.537543938,0.536437152,0.485344828,0.379025584,0.244666296,0.089493882,0.00114683,0,0,0,0,0,0
Anhui,Chizhou,0,0,0,0,0,0,0,0.094263626,0.210719688,0.327201335,0.418837597,0.473031146,0.478166852,0.442256952,0.351183537,0.248790879,0.123676307,0.016946607,0,0,0,0,0,0,0,0,0,0,0,0,0.001054187,0.0833633,0.204301724,0.320416256,0.412977833,0.466116995,0.474330049,0.442192118,0.359009852,0.263633005,0.151982759,0.04129803,0,0,0,0,0,0,0,0,0,0,0,0,0.01381535,0.10607119,0.228021135,0.342073415,0.426625139,0.472826474,0.475208009,0.437668521,0.360705228,0.269518354,0.163186874,0.057974416,0.001711902,0,0,0,0,0,0,0,0,0,0,0.001564368,0.032428736,0.131847126,0.253578161,0.363372414,0.441896552,0.478516092,0.476708046,0.43725977,0.363886207,0.275295402,0.171182759,0.069442529,0.005675862,0,0,0,0,0,0,0,0,0,0,0.010575084,0.038424917,0.136522803,0.249989989,0.350377086,0.421657397,0.454802002,0.453736374,0.420363737,0.354796441,0.272276974,0.173401557,0.078321468,0.011830923,0,0,0,0,0,0,0,0,0,0,0.013641379,0.034710345,0.119996552,0.217413793,0.303267816,0.363742529,0.393805747,0.394031035,0.36678046,0.319887356,0.249073563,0.16495977,0.081017241,0.017271264,0.00022069,0,0,0,0,0,0,0,0,0,0.00883426,0.035686318,0.129666296,0.241078977,0.340874305,0.411778643,0.450281424,0.451808676,0.424558398,0.368318131,0.286256952,0.187537264,0.091279199,0.019580645,0.000312569,0,0,0,0,0,0,0,0,0,0.002477197,0.033489433,0.129145718,0.247503893,0.351378198,0.427977753,0.463483871,0.469652948,0.436527253,0.373234705,0.285885428,0.181204672,0.080265851,0.011048943,0,0,0,0,0,0,0,0,0,0,6.44E-05,0.034151724,0.137657471,0.262231034,0.372188506,0.450128736,0.485350575,0.481443678,0.441629885,0.365871264,0.270851724,0.159308046,0.05184023,0.001466667,0,0,0,0,0,0,0,0,0,0,0,0.031818687,0.163480534,0.285648498,0.396733037,0.474437152,0.509657397,0.4980901,0.442639599,0.347617353,0.238587319,0.114839822,0.01574861,0,0,0,0,0,0,0,0,0,0,0,0,0.010962069,0.18647931,0.275241379,0.376095402,0.450035632,0.480695402,0.467108046,0.412757471,0.319970115,0.204152874,0.075652873,0.001824138,0,0,0,0,0,0,0,0,0,0,0,0,0.000145717,0.139586207,0.253283648,0.364095662,0.447619577,0.489503893,0.486715239,0.441030033,0.346572859,0.224726363,0.085215795,0.001805339,0,0,0,0,0,0
Anhui,Chuzhou,0,0,0,0,0,0,0,0.106131257,0.245885428,0.379677419,0.479661847,0.53416574,0.539865406,0.496362625,0.392521691,0.272373749,0.127181313,0.012795328,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.10166133,0.245134237,0.38046798,0.482550493,0.538825123,0.546514778,0.508791872,0.410428571,0.299365764,0.166304187,0.039708128,0,0,0,0,0,0,0,0,0,0,0,0,0.018968854,0.134617353,0.281724138,0.41290545,0.511418243,0.56146941,0.563462736,0.518164627,0.422195773,0.313298109,0.18552614,0.062489433,0.001285873,0,0,0,0,0,0,0,0,0,0,0.002955172,0.038035632,0.161114942,0.301451724,0.422644828,0.508870115,0.549566667,0.546416092,0.502237931,0.415233333,0.312104598,0.191291954,0.076022989,0.005781609,0,0,0,0,0,0,0,0,0,0,0.016135706,0.043988876,0.161458287,0.286951057,0.393600667,0.468649611,0.502434928,0.498734149,0.460516129,0.380419355,0.291204672,0.184717464,0.082682981,0.01242158,0,0,0,0,0,0,0,0,0,0,0.021073563,0.041701149,0.143372414,0.253605747,0.347624138,0.415621839,0.446527586,0.446285057,0.416724138,0.355188506,0.279271264,0.185595402,0.091312644,0.019658621,0.000477011,0,0,0,0,0,0,0,0,0,0.012183537,0.035132369,0.12860178,0.233862069,0.32754505,0.39528921,0.43272525,0.436600667,0.410658509,0.354229143,0.274707453,0.180696329,0.0873604,0.018773081,0.000438265,0,0,0,0,0,0,0,0,0,0.003973304,0.032735261,0.130026696,0.243805339,0.345755284,0.419505006,0.456541713,0.456399333,0.424780868,0.36294327,0.280112347,0.176836485,0.077036708,0.010294772,0,0,0,0,0,0,0,0,0,0,0.000266667,0.035602299,0.140648276,0.264654023,0.375129885,0.452898851,0.486935632,0.482442529,0.440354023,0.360414943,0.26537931,0.153760919,0.048008046,0.001173563,0,0,0,0,0,0,0,0,0,0,0,0.035285873,0.173201335,0.299286986,0.411452725,0.487901001,0.520285873,0.507333704,0.451322581,0.350977753,0.235873193,0.108007786,0.012385984,0,0,0,0,0,0,0,0,0,0,0,0,0.011381609,0.20398046,0.298596552,0.405143678,0.479262069,0.512828736,0.496589655,0.437643678,0.331427586,0.204404598,0.067329885,0.000535632,0,0,0,0,0,0,0,0,0,0,0,0,7.56E-05,0.143915462,0.276043382,0.394486096,0.481786429,0.523392658,0.515334816,0.460655172,0.356389322,0.223862069,0.073779755,0.000238042,0,0,0,0,0,0
Anhui,Fuyang,0,0,0,0,0,0,0,0.064187987,0.229231368,0.372477197,0.482571746,0.548261402,0.560173526,0.521321468,0.418923248,0.300328142,0.153916574,0.023035595,0,0,0,0,0,0,0,0,0,0,0,0,0.00012931,0.083864532,0.227628079,0.371880542,0.486086207,0.554482759,0.570438424,0.534874384,0.435245074,0.326009852,0.193041872,0.057311576,0.000156404,0,0,0,0,0,0,0,0,0,0,0,0.010532814,0.114420467,0.266714127,0.408005562,0.510637375,0.570051168,0.577760845,0.538518354,0.445540601,0.339133482,0.211464961,0.08270634,0.004549499,0,0,0,0,0,0,0,0,0,0,0.0011,0.036552874,0.142777011,0.288355172,0.417067816,0.507964368,0.554062069,0.557217241,0.518557471,0.434033333,0.333401149,0.214311494,0.095486207,0.011903448,0,0,0,0,0,0,0,0,0,0,0.010195773,0.042670745,0.145420467,0.275470523,0.390299221,0.469866518,0.510580645,0.512305895,0.476538376,0.393992214,0.305912125,0.201593993,0.098726363,0.020681869,0.000196885,0,0,0,0,0,0,0,0,0,0.015262069,0.042229885,0.138975862,0.258089655,0.362358621,0.437202299,0.475772414,0.484818391,0.45912069,0.389214943,0.311264368,0.211133333,0.110781609,0.030227586,0.001783908,0,0,0,0,0,0,0,0,0,0.007609566,0.032860957,0.11385317,0.219509455,0.318606229,0.391655172,0.436449388,0.444419355,0.42450723,0.369700779,0.295105673,0.201877642,0.105169077,0.028671858,0.001698554,0,0,0,0,0,0,0,0,0,0.001551724,0.030367075,0.1134505,0.227829811,0.33378198,0.412671858,0.455062291,0.463761958,0.438817575,0.379143493,0.299766407,0.199106785,0.093550612,0.017674082,8.57E-05,0,0,0,0,0,0,0,0,0,0,0.027357471,0.125113793,0.252062069,0.366831034,0.451277011,0.494313793,0.494358621,0.457274713,0.377556322,0.284593103,0.173752874,0.063345977,0.003306897,0,0,0,0,0,0,0,0,0,0,0,0.02005228,0.159302558,0.28587208,0.403084538,0.487493882,0.525774194,0.515159066,0.463735261,0.364839822,0.25427475,0.126656285,0.020873192,0,0,0,0,0,0,0,0,0,0,0,0,0.003221839,0.166571264,0.282424138,0.394054023,0.475885057,0.514748276,0.505874713,0.451302299,0.351545977,0.226895402,0.087081609,0.002824138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089276975,0.259879866,0.382937708,0.478714127,0.530870968,0.530067853,0.4826396,0.377430478,0.246458287,0.095038932,0.002304783,0,0,0,0,0,0
Anhui,Hefei,0,0,0,0,0,0,0,0.094114572,0.226571746,0.354456062,0.452500556,0.508201335,0.51607564,0.477618465,0.379300334,0.267048943,0.130369299,0.016088988,0,0,0,0,0,0,0,0,0,0,0,0,0.000913793,0.090243842,0.223242611,0.351538177,0.448969212,0.504470443,0.514554187,0.481197044,0.390422414,0.286731527,0.163204433,0.042976601,0,0,0,0,0,0,0,0,0,0,0,0,0.015273637,0.119595106,0.258233593,0.385503893,0.478404894,0.528596218,0.531256952,0.491001112,0.402067853,0.300543938,0.18096218,0.064241379,0.001886541,0,0,0,0,0,0,0,0,0,0,0.001934483,0.036012644,0.147109195,0.283387356,0.401877012,0.486736782,0.528611494,0.525433333,0.484727586,0.401014943,0.300455172,0.187032184,0.076393104,0.006583908,0,0,0,0,0,0,0,0,0,0,0.012600667,0.041598443,0.14985317,0.271770856,0.37763515,0.451716351,0.485605117,0.484181313,0.448200222,0.373856507,0.287397108,0.184250278,0.083874305,0.013368187,0,0,0,0,0,0,0,0,0,0,0.016855173,0.03877931,0.133744828,0.240413793,0.333890805,0.399327586,0.430211494,0.433103448,0.404689655,0.347111494,0.274663218,0.182317241,0.09131954,0.020452874,0.000534483,0,0,0,0,0,0,0,0,0,0.009822025,0.03470634,0.126442714,0.233399333,0.33021802,0.400339266,0.440778643,0.446783092,0.4208198,0.363586207,0.28365406,0.187491657,0.091994438,0.020701891,0.000541713,0,0,0,0,0,0,0,0,0,0.002797553,0.032638487,0.126568409,0.241220245,0.344125695,0.41898109,0.45632703,0.459235818,0.429951057,0.369472748,0.283907675,0.182131257,0.080874305,0.011694105,0,0,0,0,0,0,0,0,0,0,8.28E-05,0.033190805,0.134929885,0.258264368,0.367782759,0.444383908,0.482597701,0.479255172,0.441090805,0.364317241,0.269978161,0.157977011,0.051444828,0.001544828,0,0,0,0,0,0,0,0,0,0,0,0.030246941,0.163868743,0.288183537,0.400194661,0.477314794,0.510176863,0.498323693,0.445886541,0.348862069,0.237490545,0.112610679,0.014852058,0,0,0,0,0,0,0,0,0,0,0,0,0.009171264,0.190204598,0.283726437,0.390082759,0.465734483,0.50066092,0.487762069,0.430168966,0.330097701,0.208494253,0.074185058,0.001244828,0,0,0,0,0,0,0,0,0,0,0,0,3.11E-05,0.131681869,0.261833148,0.378426029,0.465486096,0.508051168,0.505562848,0.456655172,0.356875417,0.228979978,0.0826396,0.000932147,0,0,0,0,0,0
Anhui,Huaibei,0,0,0,0,0,0,0,0.077573971,0.246675195,0.395809789,0.50937931,0.572904338,0.58116574,0.53725584,0.429347052,0.301636263,0.145409344,0.0168198,0,0,0,0,0,0,0,0,0,0,0,0,0.000391626,0.096299261,0.249221675,0.399166256,0.515525862,0.583466749,0.595849754,0.55558867,0.453527094,0.336626847,0.194166256,0.051418719,0,0,0,0,0,0,0,0,0,0,0,0,0.014644049,0.131388209,0.291091213,0.435809789,0.543413793,0.599951057,0.606256952,0.563617353,0.464803115,0.351877642,0.215367074,0.078804227,0.002978865,0,0,0,0,0,0,0,0,0,0,0.002047126,0.039068966,0.158737931,0.308472414,0.437670115,0.53118046,0.57725977,0.58017931,0.537401149,0.443164368,0.338563218,0.214311494,0.092262069,0.009805747,0,0,0,0,0,0,0,0,0,0,0.014437152,0.044935484,0.160668521,0.295028921,0.408866518,0.488464961,0.52674416,0.526749722,0.488822025,0.403541713,0.31281535,0.203036707,0.096696329,0.018447164,0.000106785,0,0,0,0,0,0,0,0,0,0.020517241,0.044313793,0.151295402,0.273466667,0.38047931,0.452377011,0.487947126,0.491052874,0.461477012,0.392273563,0.311243678,0.210047126,0.108168965,0.027805747,0.001477011,0,0,0,0,0,0,0,0,0,0.010443827,0.033585095,0.12081535,0.226281424,0.320437152,0.393253615,0.433843159,0.439307008,0.414973304,0.366113459,0.2896396,0.194423804,0.098439377,0.025166852,0.001349277,0,0,0,0,0,0,0,0,0,0.002741935,0.030998888,0.120057842,0.234294772,0.339219132,0.415759733,0.456159066,0.462372636,0.433803115,0.376459399,0.296887653,0.193294772,0.08905228,0.015101223,1.22E-05,0,0,0,0,0,0,0,0,0,5.63E-05,0.031856322,0.136089655,0.265308046,0.380027586,0.463004598,0.505598851,0.505308046,0.462308046,0.380296552,0.283933333,0.168457471,0.057825287,0.002305747,0,0,0,0,0,0,0,0,0,0,0,0.025803114,0.170865406,0.301804227,0.421213571,0.505232481,0.542969967,0.529462736,0.473272525,0.37363515,0.255367075,0.121711902,0.016715239,0,0,0,0,0,0,0,0,0,0,0,0,0.004889655,0.187086207,0.299693104,0.410836782,0.490647126,0.52754023,0.516281609,0.457749425,0.349549425,0.219793103,0.076933333,0.001082759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103123471,0.274783092,0.400843159,0.495908788,0.543034483,0.540338154,0.48530812,0.377072303,0.241025584,0.083403782,0.00049277,0,0,0,0,0,0
Anhui,Huainan,0,0,0,0,0,0,0,0.083249166,0.233403782,0.370728587,0.476162403,0.536748609,0.544204672,0.504066741,0.400840934,0.28396663,0.140754171,0.018084538,0,0,0,0,0,0,0,0,0,0,0,0,0.000488916,0.090871921,0.231626847,0.368447044,0.47480665,0.538706897,0.551741379,0.516589902,0.417742611,0.308974138,0.178113301,0.048421182,6.16E-06,0,0,0,0,0,0,0,0,0,0,0,0.013827586,0.121523915,0.268828699,0.405655172,0.505665183,0.559959956,0.565075639,0.523925473,0.430716351,0.323958843,0.197296997,0.072537264,0.002758621,0,0,0,0,0,0,0,0,0,0,0.001717241,0.037374713,0.150181609,0.293122989,0.417197701,0.504110345,0.547312644,0.548081609,0.508197701,0.420952874,0.319265517,0.201488506,0.084988506,0.008622989,0,0,0,0,0,0,0,0,0,0,0.012382647,0.042942158,0.151937709,0.279389321,0.389305895,0.466921023,0.503536151,0.502493882,0.467139043,0.386915462,0.299344828,0.192975528,0.090892102,0.016292547,1.00E-05,0,0,0,0,0,0,0,0,0,0.017482759,0.041368966,0.140050575,0.253829885,0.352428736,0.424802299,0.461136782,0.464089655,0.438018391,0.373862069,0.297029885,0.199888506,0.101925287,0.024981609,0.001097701,0,0,0,0,0,0,0,0,0,0.009280311,0.033788654,0.120413793,0.22465406,0.320904338,0.39350723,0.434557286,0.441230256,0.419192436,0.367028921,0.288460512,0.191740823,0.096558398,0.023755284,0.001022247,0,0,0,0,0,0,0,0,0,0.002428254,0.031523915,0.12080089,0.235362625,0.339967742,0.415211346,0.453685206,0.460216908,0.43210901,0.374209121,0.291852058,0.189969967,0.086271413,0.013996663,0,0,0,0,0,0,0,0,0,0,2.64E-05,0.031257471,0.132477012,0.256944828,0.369401149,0.449904598,0.491777011,0.490867816,0.451832184,0.373627586,0.27727931,0.165378161,0.05627931,0.002132184,0,0,0,0,0,0,0,0,0,0,0,0.026177975,0.163783092,0.290482759,0.404793103,0.486122358,0.524002225,0.512057842,0.459587319,0.358948832,0.246200223,0.118659622,0.016893215,0,0,0,0,0,0,0,0,0,0,0,0,0.00612069,0.184709195,0.286310345,0.395390805,0.473912644,0.51227931,0.501850575,0.444029885,0.341427586,0.21677931,0.07838046,0.001537931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112432703,0.264058954,0.383870968,0.475486096,0.524310345,0.521041157,0.470505006,0.366551724,0.236203559,0.085765295,0.001042269,0,0,0,0,0,0
Anhui,Huangshan,0,0,0,0,0,0,0,0.101996663,0.21298109,0.324882091,0.411803115,0.462486096,0.466032258,0.43076307,0.338406007,0.23747386,0.115566185,0.013967742,0,0,0,0,0,0,0,0,0,0,0,0,0.001866995,0.086969212,0.207083744,0.318192118,0.405405172,0.455894089,0.466046798,0.430942118,0.347926108,0.253503695,0.143238916,0.03605665,0,0,0,0,0,0,0,0,0,0,0,0,0.016022247,0.108784205,0.227025584,0.335054505,0.417053393,0.461972191,0.461480534,0.423769744,0.347948832,0.257259177,0.152512792,0.051556174,0.000976641,0,0,0,0,0,0,0,0,0,0,0.002108046,0.032416092,0.135691954,0.254911494,0.359648276,0.433535632,0.468135632,0.463332184,0.426127586,0.351972414,0.263373563,0.161410345,0.062929885,0.004231035,0,0,0,0,0,0,0,0,0,0,0.01214683,0.038461624,0.140159066,0.250974416,0.347671858,0.414087875,0.446869855,0.444286986,0.408205784,0.345790879,0.262668521,0.165353726,0.072569522,0.009576196,0,0,0,0,0,0,0,0,0,0,0.014928736,0.033933333,0.11916092,0.213244828,0.294202299,0.350791954,0.378521839,0.377843678,0.351195402,0.301895402,0.233572414,0.152808046,0.072904598,0.01414023,0,0,0,0,0,0,0,0,0,0,0.010644049,0.037525028,0.138074527,0.251679644,0.350183537,0.417269188,0.451678532,0.451371524,0.422660734,0.366004449,0.280506118,0.181668521,0.084843159,0.016565072,0,0,0,0,0,0,0,0,0,0,0.003323693,0.034864294,0.137581758,0.256878754,0.3587297,0.430697442,0.464209121,0.465784205,0.428174638,0.364661846,0.276839822,0.171794216,0.073064516,0.008795328,0,0,0,0,0,0,0,0,0,0,0.000222989,0.036997701,0.143442529,0.267444828,0.372537931,0.445342529,0.478028736,0.469443678,0.4268,0.349567816,0.255428736,0.146505747,0.045117241,0.000906897,0,0,0,0,0,0,0,0,0,0,0,0.038017798,0.169849833,0.292525028,0.400953281,0.473521691,0.506829811,0.49369188,0.435531702,0.337215795,0.228304783,0.106446051,0.012846496,0,0,0,0,0,0,0,0,0,0,0,0,0.015056322,0.188102299,0.277333333,0.375198851,0.444127586,0.473298851,0.457694253,0.401571264,0.307991954,0.193503448,0.068254023,0.000978161,0,0,0,0,0,0,0,0,0,0,0,0,0.000546162,0.158877642,0.257192436,0.363655172,0.444716351,0.48328921,0.478870968,0.430438265,0.336395996,0.215494995,0.078317019,0.000913237,0,0,0,0,0,0
