Prov,Prefx,Capacity
Anhui,Anqing,45.45
Anhui,Bengbu,10.64
Anhui,Bozhou,15.22
Anhui,Chizhou,33.37
Anhui,Chuzhou,28.76
Anhui,Fuyang,17.45
Anhui,Hefei,30.97
Anhui,Huaibei,5.18
Anhui,Huainan,8.4
Anhui,Huangshan,4.89
Anhui,Luan,21.74
Anhui,Maanshan,18.36
Anhui,Suzhoux,16.9
Anhui,Tongling,21.54
Anhui,Wuhu,53.42
Anhui,Xuancheng,48.75
Beijing,Beijing,37.99
Chongqing,Chongqing,0.22
Fujian,Fuzhou,41.16
Fujian,Longyan,29.34
Fujian,Nanping,53.8
Fujian,Ningde,36.49
Fujian,Putian,9.7
Fujian,Quanzhou,47.09
Fujian,Sanming,42.26
Fujian,Xiamen,5.89
Fujian,Zhangzhou,47.89
Gansu,Baiyin,161.63
Gansu,Dingxi,63.57
Gansu,Gannan,161.13
Gansu,Jiayuguan,4.01
Gansu,Jinchang,76.14
Gansu,Jiuquan,1675.26
Gansu,Lanzhou,128.08
Gansu,Linxia,40.53
Gansu,Longnan,16.17
Gansu,Pingliang,6.61
Gansu,Qingyang,26.27
Gansu,Tianshui,4.57
Gansu,Wuwei,354.72
Gansu,Zhangye,151.12
Guangdong,Chaozhou,27.26
Guangdong,Dongguan,16.15
Guangdong,Foshan,38.57
Guangdong,Guangzhou,56.12
Guangdong,Heyuan,79.81
Guangdong,Huizhou,98.25
Guangdong,Jiangmen,85.11
Guangdong,Jieyang,59.95
Guangdong,Maoming,127.58
Guangdong,Meizhou,114.02
Guangdong,Qingyuan,96.69
Guangdong,Shantou,14.27
Guangdong,Shanwei,46.95
Guangdong,Shaoguan,17.41
Guangdong,Shenzhen,9.26
Guangdong,Yangjiang,58.86
Guangdong,Yunfu,63.7
Guangdong,Zhanjiang,65.43
Guangdong,Zhaoqing,87.19
Guangdong,Zhongshan,0.0
Guangdong,Zhuhai,0.97
Guangxi,Baise,271.11
Guangxi,Beihai,23.73
Guangxi,Chongzuo,143.36
Guangxi,Fangchenggang,31.55
Guangxi,Guigang,75.38
Guangxi,Guilin,1.36
Guangxi,Hechi,16.62
Guangxi,Hezhou,35.05
Guangxi,Laibin,77.52
Guangxi,Liuzhou,68.65
Guangxi,Nanning,204.82
Guangxi,Qinzhou,155.11
Guangxi,Wuzhou,82.48
Guangxi,Yulin,141.01
Guizhou,Anshun,0.0
Guizhou,Bijie,12.35
Guizhou,Guiyang,0.0
Guizhou,Liupanshui,1.15
Guizhou,Qiandongnan,0.0
Guizhou,Qiannan,0.04
Guizhou,Qianxinan,78.88
Guizhou,Tongren,0.0
Guizhou,Zunyi,0.0
Hainan,Baisha,3.97
Hainan,Baoting,1.44
Hainan,Changjiang,11.26
Hainan,Chengmai,26.95
Hainan,Danzhou,38.2
Hainan,Dingan,20.68
Hainan,Dongfang,13.38
Hainan,Haikou,43.64
Hainan,Ledong,3.18
Hainan,Lingao,26.37
Hainan,Lingshui,4.58
Hainan,Qionghai,11.13
Hainan,Qiongzhong,5.43
Hainan,Sanya,8.1
Hainan,Tunchang,6.74
Hainan,Wanning,4.41
Hainan,Wenchang,33.89
Hainan,Wuzhishan,0.0
Hebei,Baoding,16.69
Hebei,Cangzhou,20.35
Hebei,Chengde,129.63
Hebei,Handan,12.82
Hebei,Hengshui,13.39
Hebei,Langfang,9.36
Hebei,Qinhuangdao,14.81
Hebei,Shijiazhuang,12.85
Hebei,Tangshan,16.84
Hebei,Xingtai,15.25
Hebei,Zhangjiakou,205.8
Heilongjiang,Daqing,30.81
Heilongjiang,Daxing,46.0
Heilongjiang,Harbin,39.47
Heilongjiang,Hegang,2.18
Heilongjiang,Heihe,157.79
Heilongjiang,Jiamusi,10.45
Heilongjiang,Jixi,8.45
Heilongjiang,Mudanjiang,0.52
Heilongjiang,Qiqihar,13.2
Heilongjiang,Qitaihe,4.39
Heilongjiang,Shuangyashan,1.69
Heilongjiang,Suihua,46.55
Heilongjiang,Yichunx,9.72
Henan,Anyang,15.35
Henan,Hebi,4.65
Henan,Jiaozuo,10.29
Henan,Jiyuan,6.58
Henan,Kaifeng,10.73
Henan,Luohe,5.31
Henan,Luoyang,22.36
Henan,Nanyang,32.79
Henan,Pingdingshan,14.67
Henan,Puyang,7.04
Henan,Sanmenxia,28.39
Henan,Shangqiu,18.36
Henan,Xinxiang,16.76
Henan,Xinyang,16.38
Henan,Xuchang,8.58
Henan,Zhengzhou,15.58
Henan,Zhoukou,21.13
Henan,Zhumadian,18.73
HongKong,HongKongx,0.84
Hubei,Enshi,0.0
Hubei,Ezhou,16.91
Hubei,Huanggang,56.01
Hubei,Huangshi,39.44
Hubei,Jingmen,53.04
Hubei,Jingzhou,49.63
Hubei,Qianjiang,9.27
Hubei,Shennongjia,0.08
Hubei,Shiyan,0.82
Hubei,Suizhou,27.67
Hubei,Tianmen,5.55
Hubei,Wuhan,64.4
Hubei,Xiangyang,57.94
Hubei,Xianning,59.9
Hubei,Xiantao,15.61
Hubei,Xiaogan,26.96
Hubei,Yichang,60.45
Hunan,Changde,61.14
