ACDC,Origin,Destination,Cap
AC,Anhui,Jiangsu,12000
AC,Anhui,Zhejiang,4100
AC,Beijing,Shandong,6000
AC,Beijing,Tianjin,2500
AC,Gansu,Ningxia,4200
AC,Gansu,Shaanxi,4400
AC,Guizhou,Chongqing,2640
AC,Guizhou,Guangdong,8100
AC,Hebei,Beijing,8700
AC,Hebei,Henan,2500
AC,Hebei,Shandong,15500
AC,Heilongjiang,Jilin,2000
AC,Henan,Hubei,17200
AC,Hunan,Guangdong,1900
AC,E_InnerMongo,Heilongjiang,5000
AC,E_InnerMongo,Jilin,2400
AC,W_InnerMongo,Beijing,6000
AC,W_InnerMongo,Hebei,3400
AC,W_InnerMongo,Shanxi,12500
AC,Jiangsu,Shanghai,14729.87
AC,Jilin,Liaoning,2000
AC,Gansu,Qinghai,7000
AC,Shaanxi,Shanxi,18600
AC,Shanxi,Beijing,8700
AC,Shanxi,Hebei,25700
AC,Shanxi,Henan,6000
AC,Shanxi,Jiangsu,3000
AC,Sichuan,Chongqing,5000
AC,Sinkiang,Gansu,7000
AC,Yunnan,Guangxi,1800
AC,Zhejiang,Fujian,6000
AC,Zhejiang,Shanghai,10162.62
AC,Sichuan,Tibet,600
AC,Hubei,Hunan,12000
AC,Jiangxi,Hunan,4000
AC,Fujian,Guangdong,2000
DC,Gansu,Hunan,8000
DC,Guangxi,Guangdong,1800
DC,Guizhou,Guangdong,6000
DC,Hainan,Guangdong,1200
DC,Hubei,Guangdong,3000
DC,Hubei,Jiangsu,3000
DC,Hubei,Shanghai,7200
DC,E_InnerMongo,Liaoning,3000
DC,E_InnerMongo,Shandong,10000
DC,W_InnerMongo,Jiangsu,10000
DC,W_InnerMongo,Shandong,10000
DC,Liaoning,Hebei,5000
DC,Ningxia,Shandong,4000
DC,Ningxia,Zhejiang,8000
DC,Qinghai,Tibet,600
DC,Shaanxi,Henan,1110
DC,Shaanxi,Sichuan,3000
DC,Shanxi,Hebei,8000
DC,Sichuan,Jiangsu,15200
DC,Sichuan,Shanghai,6400
DC,Sichuan,Zhejiang,16000
DC,Sinkiang,Anhui,12000
DC,Sinkiang,Henan,8000
DC,Yunnan,Guangdong,26400
DC,Yunnan,Guangxi,6200
DC,Qinghai,Henan,8000
DC,Shaanxi,Hubei,8000
DC,Sichuan,Jiangxi,8000
